Net_Metrekare,Brüt_Metrekare,Oda_Sayısı,Bulunduğu_Kat,Eşya_Durumu,Binanın_Yaşı,Isıtma_Tipi,Fiyat,Şehir,Binanın_Kat_Sayısı,Kullanım_Durumu,Yatırıma_Uygunluk,Takas,Tapu_Durumu,Banyo_Sayısı
55,60.0,2.0,5.Kat,,4,Klimalı,1550000.0,adana,13,Boş,,,,1.0
100,155.0,4.0,11.Kat,Boş,5-10,Kombi Doğalgaz,2095000.0,adana,15,Boş,Uygun,Var,,1.0
55,65.0,2.0,5.Kat,,5-10,Klimalı,1550000.0,adana,13,Boş,,,,1.0
95,120.0,3.0,6.Kat,Boş,0 (Yeni),Kombi Doğalgaz,2465000.0,adana,14,Boş,Uygun,,,2.0
120,130.0,4.0,,,4,Kombi Doğalgaz,2800000.0,adana,3,Boş,,,,2.0
148,167.0,4.0,8.Kat,Boş,11-15,Kombi Doğalgaz,2275000.0,adana,11,Boş,Bilinmiyor,Var,,1.0
115,150.0,4.0,,Boş,21 Ve Üzeri,Klimalı,3000000.0,adana,2,Mülk Sahibi Oturuyor,Uygun,,Kat Mülkiyeti,2.0
130,185.0,5.0,Yüksek Giriş,,11-15,Kombi Doğalgaz,2950000.0,adana,15,Boş,Uygun,Yok,,2.0
100,135.0,3.0,3.Kat,,21 Ve Üzeri,Kombi Doğalgaz,2275000.0,adana,4,Boş,,,,1.0
70,486.0,3.0,,,5-10,Klimalı,4000000.0,adana,3,Boş,,Yok,Müstakil Tapulu,2.0
120,150.0,4.0,Düz Giriş (Zemin),Boş,16-20,Kombi Doğalgaz,2100000.0,adana,4,Kiracı Oturuyor,Bilinmiyor,Yok,,1.0
39,45.0,2.0,4.Kat,Boş,0 (Yeni),Kombi Doğalgaz,1050000.0,adana,13,Boş,Bilinmiyor,Var,Kat İrtifakı,1.0
90,110.0,3.0,5.Kat,Boş,11-15,Kombi Doğalgaz,1480000.0,adana,10,Mülk Sahibi Oturuyor,Bilinmiyor,Var,,1.0
120,155.0,4.0,3.Kat,Boş,4,Kombi Doğalgaz,3500000.0,adana,12,Boş,Bilinmiyor,Yok,Kat İrtifakı,2.0
37,55.0,2.0,4.Kat,Boş,0 (Yeni),Kombi Doğalgaz,990000.0,adana,7,Boş,Bilinmiyor,Var,Kat İrtifakı,1.0
190,200.0,5.0,Yüksek Giriş,Boş,11-15,Kombi Doğalgaz,3050000.0,adana,11,Boş,Bilinmiyor,Var,,2.0
300,330.0,7.0,,Boş,5-10,Kombi Doğalgaz,9990000.0,adana,3,Boş,Bilinmiyor,Yok,Müstakil Tapulu,3.0
45,65.0,2.0,1.Kat,Boş,16-20,Klimalı,425000.0,adana,12,Boş,,Var,Kat Mülkiyeti,1.0
90,110.0,3.0,10.Kat,Boş,5-10,Kombi Doğalgaz,2830000.0,adana,10,Mülk Sahibi Oturuyor,Uygun,Yok,Kat Mülkiyeti,1.0
90,111.0,4.0,1.Kat,Boş,0 (Yeni),Kombi Doğalgaz,1325000.0,adana,5,Boş,,Var,Kat Mülkiyeti,1.0
90,130.0,3.0,Yüksek Giriş,,5-10,Kombi Doğalgaz,1950000.0,adana,12,Boş,Uygun,Yok,Kat Mülkiyeti,1.0
150,170.0,4.0,7.Kat,,21 Ve Üzeri,Kombi Doğalgaz,3200000.0,adana,13,Mülk Sahibi Oturuyor,,Var,Kat İrtifakı,1.0
110,135.0,4.0,2.Kat,Boş,0 (Yeni),Kombi Doğalgaz,1600000.0,adana,4,Boş,,Var,Kat İrtifakı,2.0
175,200.0,11.0,,,16-20,Klimalı,7400000.0,adana,3,Boş,,,,3.0
125,160.0,5.0,1.Kat,Boş,1,Kombi Doğalgaz,2600000.0,adana,9,Kiracı Oturuyor,,Var,Kat Mülkiyeti,2.0
136,176.0,3.0,,,16-20,Klimalı,3150000.0,adana,2,Mülk Sahibi Oturuyor,Uygun,,,2.0
100,125.0,4.0,2.Kat,Boş,1,Kombi Doğalgaz,1400000.0,adana,9,Kiracı Oturuyor,,,Kat Mülkiyeti,1.0
124,145.0,4.0,,Boş,11-15,Güneş Enerjisi,6375000.0,adana,3,Mülk Sahibi Oturuyor,Bilinmiyor,Var,Arsa Tapulu,1.0
135,160.0,4.0,6.Kat,Boş,21 Ve Üzeri,Kombi Doğalgaz,2950000.0,adana,8,Mülk Sahibi Oturuyor,Bilinmiyor,Yok,,2.0
90,95.0,3.0,Bahçe Katı,,5-10,Merkezi Doğalgaz,1600000.0,adana,2,Kiracı Oturuyor,,,,1.0
130,195.0,4.0,3.Kat,Boş,21 Ve Üzeri,Klimalı,3125000.0,adana,9,Kiracı Oturuyor,Uygun,Yok,,1.0
145,165.0,4.0,10.Kat,,16-20,Kombi Doğalgaz,2400000.0,adana,11,Mülk Sahibi Oturuyor,,Yok,Kat Mülkiyeti,2.0
105,115.0,4.0,12.Kat,,1,Kombi Doğalgaz,2075000.0,adana,12,Boş,,,,2.0
220,240.0,5.0,1.Kat,,5-10,Kombi Doğalgaz,5250000.0,adana,15,Boş,Uygun,Var,Kat Mülkiyeti,2.0
145,170.0,4.0,7.Kat,Boş,21 Ve Üzeri,Isıtma Yok,1750000.0,adana,8,Boş,Uygun,Var,Kat Mülkiyeti,1.0
175,195.0,5.0,13.Kat,,4,Kombi Doğalgaz,3950000.0,adana,15,Mülk Sahibi Oturuyor,,Var,,2.0
105,125.0,4.0,,,11-15,Klimalı,1245000.0,adana,2,Boş,,,Müstakil Tapulu,1.0
40,50.0,2.0,1.Kat,Boş,0 (Yeni),Isıtma Yok,870000.0,adana,11,Boş,Uygun,Var,Kat Mülkiyeti,1.0
220,240.0,5.0,1.Kat,,5-10,Merkezi (Pay Ölçer),5250000.0,adana,15,Boş,Uygun,,Kat Mülkiyeti,2.0
150,170.0,4.0,1.Kat,,11-15,Kombi Doğalgaz,2499000.0,adana,10,Boş,Uygun,Var,Kat Mülkiyeti,1.0
145,170.0,4.0,7.Kat,Boş,21 Ve Üzeri,Isıtma Yok,1750000.0,adana,8,Boş,Uygun,Var,Kat Mülkiyeti,1.0
